Date,amount
2015-01-02,1526.0
2015-01-03,1260.0
2015-01-04,1694.0
2015-01-05,1530.0
2015-01-06,1495.0
2015-01-07,1444.0
2015-01-08,521.0
2015-01-09,866.0
2015-01-10,1638.0
2015-01-11,730.0
2015-01-12,487.0
2015-01-13,1523.0
2015-01-14,1271.0
2015-01-15,530.0
2015-01-16,1732.0
2015-01-17,1169.0
2015-01-18,743.0
2015-01-19,1205.0
2015-01-20,785.0
2015-01-21,1615.0
2015-01-22,1355.0
2015-01-23,676.0
2015-01-24,1584.0
2015-01-25,859.0
2015-01-26,1737.0
2015-01-27,421.0
2015-01-28,652.0
2015-01-29,1147.0
2015-01-30,1256.0
2015-01-31,874.0
2015-02-01,1482.0
2015-02-02,910.0
2015-02-03,1099.0
2015-02-04,1375.0
2015-02-05,589.0
2015-02-06,1357.0
2015-02-07,1086.0
2015-02-08,1357.0
2015-02-09,962.0
2015-02-10,1667.0
2015-02-11,1231.0
2015-02-12,1554.0
2015-02-13,1046.0
2015-02-14,420.0
2015-02-15,1240.0
2015-02-16,566.0
2015-02-17,1697.0
2015-02-18,787.0
2015-02-19,1000.0
2015-02-20,715.0
2015-02-21,413.0
2015-02-22,641.0
2015-02-23,1176.0
2015-02-24,964.0
2015-02-25,1297.0
2015-02-26,491.0
2015-02-27,1355.0
2015-02-28,908.0
2015-03-01,1175.0
2015-03-02,434.0
2015-03-03,605.0
2015-03-04,1504.0
2015-03-05,1425.0
2015-03-06,1421.0
2015-03-07,965.0
2015-03-08,1529.0
2015-03-09,1102.0
2015-03-10,801.0
2015-03-11,1129.0
2015-03-12,561.0
2015-03-13,601.0
2015-03-14,1395.0
2015-03-15,669.0
2015-03-16,1215.0
2015-03-17,1694.0
2015-03-18,855.0
2015-03-19,1675.0
2015-03-20,1416.0
2015-03-21,695.0
2015-03-22,1119.0
2015-03-23,737.0
2015-03-24,1278.0
2015-03-25,1476.0
2015-03-26,1191.0
2015-03-27,616.0
2015-03-28,1163.0
2015-03-29,587.0
2015-03-30,779.0
2015-03-31,892.0
2015-04-01,1464.0
2015-04-02,1580.0
2015-04-03,414.0
2015-04-04,464.0
2015-04-05,920.0
2015-04-06,1552.0
2015-04-07,1047.0
2015-04-08,1486.0
2015-04-09,1562.0
2015-04-10,992.0
2015-04-11,791.0
2015-04-12,818.0
2015-04-13,688.0
2015-04-14,778.0
2015-04-15,630.0
2015-04-16,1417.0
2015-04-17,440.0
2015-04-18,1451.0
2015-04-19,534.0
2015-04-20,600.0
2015-04-21,1179.0
2015-04-22,1329.0
2015-04-23,1456.0
2015-04-24,1471.0
2015-04-25,902.0
2015-04-26,806.0
2015-04-27,1204.0
2015-04-28,498.0
2015-04-29,1083.0
2015-04-30,1125.0
2015-05-01,1360.0
2015-05-02,1012.0
2015-05-03,1042.0
2015-05-04,1428.0
2015-05-05,1641.0
2015-05-06,902.0
2015-05-07,1166.0
2015-05-08,797.0
2015-05-09,1270.0
2015-05-10,1194.0
2015-05-11,792.0
2015-05-12,606.0
2015-05-13,1438.0
2015-05-14,1291.0
2015-05-15,1263.0
2015-05-16,1142.0
2015-05-17,1664.0
2015-05-18,963.0
2015-05-19,1420.0
2015-05-20,495.0
2015-05-21,884.0
2015-05-22,630.0
2015-05-23,1148.0
2015-05-24,1594.0
2015-05-25,940.0
2015-05-26,1459.0
2015-05-27,924.0
2015-05-28,1583.0
2015-05-29,1666.0
2015-05-30,1509.0
2015-05-31,977.0
2015-06-01,1081.0
2015-06-02,956.0
2015-06-03,1412.0
2015-06-04,1045.0
2015-06-05,1195.0
2015-06-06,1451.0
2015-06-07,1654.0
2015-06-08,589.0
2015-06-09,1648.0
2015-06-10,1706.0
2015-06-11,1032.0
2015-06-12,1027.0
2015-06-13,1372.0
2015-06-14,1682.0
2015-06-15,1109.0
2015-06-16,1048.0
2015-06-17,717.0
2015-06-18,1648.0
2015-06-19,1657.0
2015-06-20,1083.0
2015-06-21,1063.0
2015-06-22,1656.0
2015-06-23,1536.0
2015-06-24,841.0
